"way_id","trfc_cdt","distance","duration"
"10567783","1","3169","349"
"164024490","1","267","5"
"10567782","0","610","66"
"10567791","1","5953","696"
"10567790","1","145","20"
"68523383","1","1958","383"
"98150996","1","235","26"
"98150999","1","235","8"
"98151004","0","144","26"
"67476739","1","1672","173"
"98151003","1","4311","453"
"130799671","0","22","5"
"130799684","0","80","5"
"130799685","0","66","46"
"130799700","0","326","97"
"130799702","0","0","3"
"130799704","0","25","7"
"130799705","1","2117","208"
"130799708","1","1359","231"
"130799718","1","235","26"
"130799724","1","3090","424"
"130799727","1","745","119"
"130799728","1","220","8"
"130799732","1","1","20"
"130799736","1","704","75"
"130799737","1","151","2"
"130799738","1","201","18"
"130799741","1","43","20"
"130799747","0","116","18"
"130799748","1","1374","112"
"130799752","0","0","5"
"130799753","1","223","6"
"130799758","0","170","9"
"130799759","1","1442","102"
"130799760","0","63","16"
"130799761","0","349","42"
"130799764","0","126","0"
"130799765","0","207","2"
"130799766","0","200","5"
"130799768","0","46","28"
"130799769","0","25","2"
"130799772","0","18","10"
"130799775","1","15","1"
"130799778","0","34","11"
"130799781","0","52","4"
"130799782","0","74","19"
"130799783","0","1","5"
"130799784","1","171","9"
"130799786","0","38","4"
"130799788","1","58","19"
"130799791","1","175","11"
"130799795","0","107","16"
"130799740","0","109","17"
"130799754","0","22","12"
